3
Step =      0  Time =       0.00000000
H      -0.00050540     -0.00051656      0.00025076
O       0.00001409      0.00102456     -0.00047838
H       0.00048987     -0.00050107      0.00022369
3
Step =      1  Time =       8.26827492
H      -0.01455385     -0.01097575      0.00541045
O       0.01474777      0.01155550     -0.00568534
H      -0.00019586     -0.00057261      0.00027097
3
Step =      2  Time =      16.53654983
H      -0.02638995     -0.02006148      0.00988512
O       0.02719808      0.02074536     -0.01022094
H      -0.00080960     -0.00067608      0.00033167
3
Step =      3  Time =      24.80482475
H      -0.03617386     -0.02783616      0.01370712
O       0.03752036      0.02867075     -0.01412393
H      -0.00134726     -0.00082637      0.00041263
3
Step =      4  Time =      33.07309966
H      -0.04412468     -0.03441258      0.01693346
O       0.04593219      0.03545504     -0.01745628
H      -0.00180806     -0.00103459      0.00051903
3
Step =      5  Time =      41.34137458
H      -0.05048029     -0.03992606      0.01963204
O       0.05267388      0.04124147     -0.02028972
H      -0.00219421     -0.00130825      0.00065441
3
Step =      6  Time =      49.60964949
H      -0.05547207     -0.04451576      0.02187239
O       0.05798210      0.04617386     -0.02269609
H      -0.00251045     -0.00165151      0.00082080
3
Step =      7  Time =      57.87792441
H      -0.05931069     -0.04831323      0.02372011
O       0.06207452      0.05038489     -0.02474161
H      -0.00276374     -0.00206544      0.00101884
3
Step =      8  Time =      66.14619932
H      -0.06217953     -0.05143625      0.02523381
O       0.06514314      0.05399047     -0.02648416
H      -0.00296289     -0.00254840      0.00124796
3
Step =      9  Time =      74.41447424
H      -0.06423216     -0.05398584      0.02646369
O       0.06735172      0.05708779     -0.02797234
H      -0.00311830     -0.00309667      0.00150662
3
Step =     10  Time =      82.68274915
H      -0.06559372     -0.05604577      0.02745133
O       0.06883689      0.05975477     -0.02924524
H      -0.00324151     -0.00370441      0.00179234
3
Step =     11  Time =      90.95102407
H      -0.06636226     -0.05768268      0.02822978
O       0.06970914      0.06205086     -0.03033283
H      -0.00334494     -0.00436436      0.00210199
3
Step =     12  Time =      99.21929898
H      -0.06661101     -0.05894691      0.02882398
O       0.07005470      0.06401806     -0.03125644
H      -0.00344157     -0.00506810      0.00243191
3
Step =     13  Time =     107.48757390
H      -0.06639051     -0.05987318      0.02925115
O       0.06993729      0.06568195     -0.03202928
H      -0.00354454     -0.00580642      0.00277808
3
